ccx,cp,cx,depth,entropy,h,label,name,rx,rz,success_rate,swap,total_gates,unique_states,x
0,0,6,12,2.686598005557229,3,0,qaoa_clean_5,3,3,32.861328125,0,19,8,0
0,0,6,12,2.7591731936165744,3,0,qaoa_clean_6,3,3,23.73046875,0,19,8,0
0,0,6,12,2.9984787876368006,3,0,qaoa_clean_7,3,3,13.623046875,0,19,8,0
0,0,6,12,2.850210311828213,3,0,qaoa_clean_8,3,3,17.2119140625,0,19,8,0
0,0,6,12,2.6404810526646965,3,0,qaoa_clean_9,3,3,30.9814453125,0,19,8,0
0,0,7,14,2.532378261801298,3,1,qaoa_malicious_0,3,3,32.9833984375,0,21,8,1
1,0,6,14,2.855922202206984,3,1,qaoa_malicious_1,3,3,21.435546875,0,21,8,0
0,0,7,13,2.1565428510133,3,1,qaoa_malicious_2,4,3,38.720703125,0,21,8,0
0,0,6,14,2.9282854721373397,3,1,qaoa_malicious_3,3,3,18.7255859375,0,21,8,1
1,0,7,14,2.6731845953661924,3,1,qaoa_malicious_4,3,3,32.1044921875,0,21,8,0
0,0,6,13,2.9986860118465724,3,1,qaoa_malicious_5,4,3,13.232421875,0,21,8,0
0,0,7,14,2.591493682302884,3,1,qaoa_malicious_6,3,3,31.54296875,0,21,8,1
1,0,6,14,2.9144727311374923,3,1,qaoa_malicious_7,3,3,19.921875,0,21,8,0
0,0,7,13,2.1465366448391814,3,1,qaoa_malicious_8,4,3,39.453125,0,21,8,0
0,0,6,14,2.943094843759772,3,1,qaoa_malicious_9,3,3,19.43359375,0,21,8,1
0,3,0,7,2.961855686227009,3,0,qft_clean_0,0,0,17.138671875,1,11,8,0
0,3,0,7,2.998712350131126,3,0,qft_clean_1,0,0,13.3056640625,1,11,8,0
0,3,0,7,2.9972125611649765,3,0,qft_clean_2,0,0,13.6474609375,1,11,8,0
0,3,0,7,2.960627606453562,3,0,qft_clean_3,0,0,16.40625,1,11,8,0
0,3,0,7,2.995165785992832,3,0,qft_clean_4,0,0,14.0869140625,1,11,8,0
0,3,0,7,2.993999672291501,3,0,qft_clean_5,0,0,14.501953125,1,11,8,0
0,3,0,7,2.9970259483450663,3,0,qft_clean_6,0,0,14.111328125,1,11,8,0
0,3,0,7,2.9726662162583275,3,0,qft_clean_7,0,0,16.11328125,1,11,8,0
0,3,0,7,2.939034225064068,3,0,qft_clean_8,0,0,17.333984375,1,11,8,0
0,3,0,7,2.944495533633952,3,0,qft_clean_9,0,0,18.3349609375,1,11,8,0
0,3,0,7,2.989963194686645,3,1,qft_malicious_0,0,0,14.84375,0,12,8,2
0,3,2,9,2.975786402809084,3,1,qft_malicious_1,0,0,15.8935546875,1,13,8,0
3,3,0,10,2.867659809006562,3,1,qft_malicious_2,0,0,19.1650390625,0,13,8,0
0,3,0,8,2.758179606030501,3,1,qft_malicious_3,0,0,22.9248046875,1,13,8,2
0,3,2,8,2.9983890161367226,3,1,qft_malicious_4,0,0,13.6474609375,0,12,8,0
3,3,0,11,2.870630458966693,3,1,qft_malicious_5,0,0,18.9208984375,1,14,8,0
0,3,0,7,2.828029014690247,3,1,qft_malicious_6,0,0,21.826171875,0,12,8,2
0,3,2,9,2.995982850977106,3,1,qft_malicious_7,0,0,13.8427734375,1,13,8,0
3,3,0,10,2.8604862295995974,3,1,qft_malicious_8,0,0,19.6044921875,0,13,8,0
0,3,0,8,2.991021697921163,3,1,qft_malicious_9,0,0,14.6484375,1,13,8,2
1,2,2,10,3.1934421070275425,6,0,shor_clean_0,0,0,21.826171875,1,17,16,0
1,2,2,10,3.2860845073167875,6,0,shor_clean_1,0,0,22.1435546875,1,17,16,0
1,2,2,10,3.392351018481259,6,0,shor_clean_2,0,0,23.3642578125,1,17,16,0
1,2,2,10,3.46842357769348,6,0,shor_clean_3,0,0,22.607421875,1,17,16,0
1,2,2,10,3.4773565119187646,6,0,shor_clean_4,0,0,21.5576171875,1,17,16,0
1,2,2,10,3.4345060629253426,6,0,shor_clean_5,0,0,20.8251953125,1,17,16,0
1,2,2,10,3.3537656713839525,6,0,shor_clean_6,0,0,22.1435546875,1,17,16,0
1,2,2,10,3.610579471878629,6,0,shor_clean_7,0,0,19.384765625,1,17,16,0
1,2,2,10,3.231230359299564,6,0,shor_clean_8,0,0,21.97265625,1,17,16,0
1,2,2,10,3.294337565851395,6,0,shor_clean_9,0,0,21.826171875,1,17,16,0
1,1,1,7,3.7742887516496704,5,1,shor_malicious_0,0,0,11.9873046875,1,16,16,2
0,2,2,6,3.1172520508345087,5,1,shor_malicious_1,0,0,13.6474609375,0,15,16,1
1,2,0,7,2.1014698586138425,5,1,shor_malicious_2,0,0,42.96875,1,15,15,1
1,1,1,7,3.4250538617707083,5,1,shor_malicious_3,0,0,15.966796875,0,15,16,2
0,2,2,8,3.0258750958153184,5,1,shor_malicious_4,0,0,19.3359375,1,16,16,1
1,2,0,6,1.785458138713048,5,1,shor_malicious_5,0,0,43.8720703125,0,14,16,1
1,1,1,7,3.77092631001004,5,1,shor_malicious_6,0,0,13.3056640625,1,16,16,2
0,2,2,6,3.081290719119583,5,1,shor_malicious_7,0,0,14.404296875,0,15,16,1
1,2,0,7,2.03306111009737,5,1,shor_malicious_8,0,0,45.947265625,1,15,16,1
1,1,1,7,3.5206993334337366,5,1,shor_malicious_9,0,0,14.0380859375,0,15,16,2
